video_id,category_id,duration_seconds,upload_hour,upload_dayofweek,is_weekend,early_snapshot_age_hours,early_snapshot_count,early_views,early_likes,early_comments,early_views_per_hour,early_like_rate,early_comment_rate,early_engagement_rate,target_snapshot_age_hours,target_engagement_rate
UReHfm4Az0A,26.0,2773.0,17,5,1,5.939074722222223,21,1287,120,4,216.70042223655392,9.324009324009324,0.3108003108003108,9.634809634809637,23.9390025,3.946615824594852
UT4yo7mEN2k,20.0,5.0,20,1,0,5.9243575,21,13473,467,712,2274.170659012391,3.466191642544348,5.284643360795665,8.750835003340013,23.924304166666666,6.36232653370744
UUs0JHA8tfc,24.0,25.0,11,3,0,5.935025277777778,21,955,25,1,160.90917145302805,2.6178010471204187,0.1047120418848167,2.722513089005236,23.93507111111111,2.2667369530838166
UXdVWzu_x-w,15.0,2642.0,20,1,0,5.9368575,21,18218,215,26,3068.6267945626114,1.180151498517949,0.1427159951696124,1.3228674936875615,23.936804166666665,0.8623253047873922
UwkEb674y0I,15.0,119.0,21,0,0,5.968675833333333,31,5600,595,16,938.2315535927776,10.625,0.2857142857142857,10.910714285714286,23.968384722222225,9.68275593616193
V14pDdGCDQg,22.0,26.0,9,3,0,5.937005277777778,30,912,46,0,153.6127992699649,5.043859649122807,0.0,5.043859649122807,23.93706027777778,6.313645621181263
V4OIPsj4Pnw,22.0,73.0,23,5,1,5.939298611111111,21,1,0,0,0.1683700493067012,0.0,0.0,0.0,23.93932083333333,0.0
V7Dngf-PQ_A,17.0,2708.0,9,1,0,5.935608055555555,27,208,15,11,35.042745082421355,7.211538461538461,5.288461538461538,12.5,23.93563222222222,3.612334801762114
V9Xo2DVkIx0,15.0,111.0,21,2,0,5.8476075,31,2700,361,20,461.727296163431,13.370370370370372,0.7407407407407408,14.11111111111111,24.01425861111112,6.514103246407664
VIqyVMeIVnU,27.0,120.0,8,3,0,5.941746666666667,21,8,0,0,1.346405434092332,0.0,0.0,0.0,23.941735277777777,0.0
VQHI1O54DYo,15.0,133.0,21,5,1,5.945414722222222,27,3009,525,11,506.10430736702654,17.44765702891326,0.3655699567962778,17.813226985709537,23.94532555555556,12.641509433962264
VUj6ZKyTSsM,19.0,20.0,10,6,1,5.942618888888889,33,3734,78,1,628.3424984532633,2.088912694161757,0.0267809319764327,2.1156936261381896,23.94259138888889,1.9244787869951887
VdfIUccP7yU,20.0,3009.0,17,2,0,5.941600555555556,21,1,0,0,0.1683048179778718,0.0,0.0,0.0,23.941414166666668,0.0
VnVdNiFRXpE,20.0,2188.0,13,6,1,5.944486944444444,33,3183,536,41,535.4541156785187,16.839459629280555,1.2880929940307886,18.12755262331134,21.44458027777777,5.254807387192994
