video_id,category_id,duration_seconds,upload_hour,upload_dayofweek,is_weekend,early_snapshot_age_hours,early_snapshot_count,early_views,early_likes,early_comments,early_views_per_hour,early_like_rate,early_comment_rate,early_engagement_rate,target_snapshot_age_hours,target_engagement_rate
jgcWlmkUAog,20.0,15884,17,6,1,5.949704522,27,2039064.0,0.0,0.0,342716.8513,0.0,0.0,0.0,23.97040907,4.90119917640249e-05
kSn6Vy-3frU,1.0,382,13,3,0,4.662742524,7,26007.0,4671.0,403.0,5577.618722,17.96054908293921,1.5495828046295228,19.510131887568733,24.04072787,10.116121773837108
kZ7CF7Js_xk,20.0,971,13,3,0,5.919820169,21,206393.0,5791.0,457.0,34864.74152,2.8058122126234903,0.2214222381573018,3.027234450780792,23.9603264,2.069598082988223
lgiCsbfbq_g,24.0,483,11,1,0,5.921024829,13,16820.0,1592.0,42.0,2840.72445,9.464922711058264,0.2497027348394768,9.714625445897742,28.90335371,6.298805695911805
mFoaalFEt2E,20.0,1453,9,3,0,5.845111463,16,229925.0,6480.0,6105.0,39336.29007,2.8183103185821463,2.655213656627161,5.473523975209307,24.08293517,3.737545972024816
mIoVlSJKBXA,20.0,19045,15,5,1,5.855184743,28,4111672.0,195409.0,219.0,702227.5437,4.752543490823198,0.0053263003469148,4.757869791170113,23.94649079,4.629964747690931
n65bXlvrHlo,24.0,150,8,2,0,5.839501439,4,55200.0,2582.0,50.0,9452.861785,4.677536231884058,0.0905797101449275,4.768115942028985,24.03842324,2.711708042378413
nQUdcS9dZ1Y,20.0,11279,19,2,0,5.858995806,39,1329184.0,4285.0,1.0,226862.0842,0.3223782410862604,7.523412860822881e-05,0.3224534752148686,18.04971097,0.3186121534331456
nWuxL8K1MHE,22.0,574,15,6,1,5.94683496,22,50723.0,3055.0,605.0,8529.411081,6.022908739625022,1.1927527945902252,7.215661534215248,24.04739835,5.804161162483487
ng_27zvzu5A,20.0,1229,6,6,1,5.895206595,1,96126.0,1556.0,116.0,16305.78987,1.6187087780621268,0.1206749474647858,1.739383725526913,24.06065852,1.3016876561464334
nyUEDkSJ2CI,20.0,13883,15,5,1,5.852438686,31,316532.0,12703.0,137.0,54085.48761,4.013180341955948,0.0432815639493005,4.056461905905248,21.10180151,3.9842007875883674
o2zErFNsW6E,24.0,212,14,1,0,5.897581959,18,99705.0,5747.0,225.0,16906.08129,5.764003811243168,0.2256657138558748,5.989669525099043,23.92670334,3.924946581196581
pPOjdMqZl8U,20.0,36598,20,5,1,5.895672266,36,1940717.0,5637.0,0.0,329176.5404,0.2904596600122532,0.0,0.2904596600122532,22.31941272,0.2889449824850608
psuDntKA8Jw,24.0,413,8,3,0,5.971412389,8,17040.0,816.0,87.0,2853.59625,4.788732394366197,0.5105633802816901,5.299295774647887,24.04080223,3.7828677636254304
qrnBS6bZyQ8,20.0,2103,7,1,0,5.870394508,11,217849.0,4295.0,183.0,37109.7717,1.971549100523757,0.0840031397894872,2.0555522403132445,24.06510946,1.6958751676392765
